Developer;Název projektu;Odkaz na web;Počet jednotek
Real Luxembourg;Palackého náměstí 2;;6
FINEP CZ;Kaskády Barrandov XXI;https://www.finep.cz;74
BEMETT;Viladomy Čimický háj B2;https://www.premiovebydleni.cz;20
EKOSPOL;Ekorezidence Strašnice;;64
Revival Byty;Rezidence Za návsí;https://rezidencezanavsi.cz;11
Daramis;Rezidence Vokovice II;https://rezidence-vokovice2.cz;16
Daramis;Zelené město 3;https://www.zelenemesto3.cz;2
EBM Group;Meander Kbely;https://www.ebmgroup.cz;96
KAPRAIN Development;Zelený Chodovec - byty;;54
FLY PROJECT 1;Na Čečeličce;;3
ED Group;Vila park Stodůlky;https://www.vilaparkstodulky.cz;55
Gartal;Pod Bertramkou;https://gartal.cz;41
City Home;Nad Kajetánkou 12;;8
Geosan Development;Rezidence Neklanka 2;;31
EKOSPOL;Ekocity Hostivař - dům A;;125
CENTRAL GROUP;Rezidenční čtvrť Tesla Hloubětín IJKL;;357
CENTRAL GROUP;Rezidence Kotlaska;;29
Residence Bohemia;Residence Bohemia;;8
VIVUS;Vivus Uhříněves VI - byty;https://www.vivus.cz;54
Daramis;L1FE House;https://l1fe.cz;249
BAK Development;Rezidence Komořanská 17;;14
CENTRAL GROUP;Residence Basilejské náměstí;;59
Bohemia Home;Rodinné Domy Praha-Nedvězí;https://domynedvezi.cz;21
OTHERWISE Czech;Rezidence Nad Klášterem;;19
LUXURY REALITY;THE TRIANGLE A;https://www.luxurycz.cz;21
YIT CZ;Suomi Tampere;https://www.yit.cz;68
CENTRAL GROUP;Viladům Výhledy Chodovec;;32
Arbfaa Capital;Idylka Lochkov;https://www.idylkalochkov.cz;38
BOGACI;Nové byty U Krkavců;https://bytydlouha.cz;6
Vertex Fund;Rezidence Prosecká vyhlídka;https://proseckavyhlidka.cz;7
CPI Property Group;Kolbenova park - F, D;;272
Rezidence Biograf;Rezidence Biograf;;6
RPK Vršovice;Byty na Míčánkách;https://www.bytynamicankach.cz;5
Boutiq Development;Tachovské náměstí 5;;29
Rezidence Sestupná;Rezidence Sestupná 18;https://www.sestupna18.cz;10
CENTRAL GROUP;Rezidence Libeňský park;;1
Slunečné terasy;Villa bytový dúm Branická;;24
DELICODE;Jaromírova 4;;22
Vila dům Libuše;Viladům Libuše;;4
YIT CZ;RANTA Barrandov III;https://www.yit.cz;56
CENTRAL GROUP;Viladomy Střížkov;;36
CC Real;Rezidence Prokopský potok;https://www.prokopskypotok.cz;43
Real Luxembourg;Rezidence Jarov;https://www.rezidence-jarov.cz;9
Jart Developments;U Arborky Satalice;https://uarborky.cz;36
Pitkovický dvůr;Pitkovický dvůr A+B;https://www.pitkovickydvur.cz;17
Svoboda & Williams;Svornosti 27;;17
Galstian&Galstian Group;Rezidence Neklanka Koulka;https://www.neklanka-koulka.cz;22
ISN Company;Rezidence u Vinohradu;;37
Real-Treuhand Reality;Rezidence Zenklova;https://rezidencezenklova.cz;46
FINEP CZ;Kaskády Barrandov XXII;https://www.finep.cz;82
Metrostav Development;Vilapark Klamovka;;116
VIVUS;Vivus Žižkov;https://www.vivus.cz;109
Skanska Residential;Albatros Kbely 5 - Charlie;https://residential.skanska.cz;175
EKOSPOL;Ekocity Hostivař - dům F;;58
CENTRAL GROUP;Rezidence Jižní terasy;;64
Horizon Holding;Arboret;https://www.arboret.cz;63
CENTRAL GROUP;Rezidence Viladomy Malvazinky;;13
Casu Invest;Jaselská 33;;10
Metrostav Development;Nad skálou Barrandov - 2. etapa;;138
Velichovská 1725/1;Rezidence Prokopské údolí;;4
Zen Rezidence;Zen Rezidence;https://www.zen-rezidence.cz;37
VIVUS;Vivus Kolbenova III;https://www.vivus.cz;96
Rezidence 49;Rezidence Klánova 49;https://klanova49.cz;5
CRESTYL real estate;Hagibor I;https://www.hagibor.cz;152
CENTRAL GROUP;Harfa Living - A;;122
Veverkova 19;Residence Veverkova 19;;22
Real Luxembourg;Dům u Tyrše;https://www.dum-utyrse.cz;23
Doma je Doma;Trio Radotín;;205
FINEP CZ;Byty Britská čtvrť XVIII;https://www.finep.cz;61
Metrostav Development;Mido Harfa;;150
Trigema;Dueta Kamýk;https://dueta.trigema.cz;168
Star Group;Nové Chabry - I;;122
Penta Real Estate;Nuselský pivovar;https://www.nuselsky-pivovar.com;238
Skanska Residential;Modřanský cukrovar 3;;130
MS Invest;Bydlení Kutnohorská - byty;https://byty.bydlenikutnohorska.cz;24
Boutiq Development;Lario;https://www.lario.cz;74
PSN;Bělehradská 29;;21
FINEP CZ;Byty Nad Krocínkou IV;https://www.finep.cz;64
Revival Byty;Rezidence Želivská;https://rezidencezelivska.cz;8
Byty Chuchle;Byty Chuchle;https://www.bytychuchle.cz;27
JRD Development;Rezidence Terra Barrandov;;171
Green Oak Residence;Green Oak Residence I.etapa;https://www.green-oak-residence.cz;20
AFI Europe;Villa domy Třebešín;;25
Luxury Home;Panorama Roztyly;;74
ACORD Invest;Carolina corner;https://carolinacorner.cz;9
CENTRAL GROUP;Rezidence parková čtvrť;;137
Atlantis Development;Via Sancta Vinoř;https://www.viasancta.cz;216
